Address,Year_Built,Story_Number,Unit_Number,Evaluation_Score,Parking_Area,Elevator_Maintenance,Building_Cleanliness,Windows
633 Toronto Road,1941,10,668,77,1,3,1,1
634 Toronto Road,1985,42,374,12,2,1,1,0
635 Toronto Road,1913,10,260,60,0,1,0,0
636 Toronto Road,1868,43,379,3,0,1,0,3
637 Toronto Road,2006,17,213,5,3,0,3,0
638 Toronto Road,2021,5,92,24,3,1,3,2
639 Toronto Road,1854,25,397,87,0,2,1,2
640 Toronto Road,2014,3,531,84,1,1,0,1
641 Toronto Road,1917,17,383,16,2,3,0,0
642 Toronto Road,1848,12,559,97,0,2,2,0
643 Toronto Road,1851,26,44,91,0,1,3,0
644 Toronto Road,1840,51,244,31,1,2,0,0
645 Toronto Road,1973,33,12,42,3,2,2,3
646 Toronto Road,1894,3,685,53,0,1,3,1
647 Toronto Road,1924,41,331,18,2,1,3,3
648 Toronto Road,1854,15,115,77,3,2,0,0
649 Toronto Road,2006,14,380,59,1,2,1,1
650 Toronto Road,1992,10,412,52,2,3,1,3
651 Toronto Road,1933,37,492,16,0,3,0,3
652 Toronto Road,1889,19,490,67,3,2,3,2
653 Toronto Road,1881,46,60,23,1,0,2,2
654 Toronto Road,1872,47,157,68,2,0,2,1
655 Toronto Road,1913,26,444,45,1,2,0,0
656 Toronto Road,2005,7,256,41,2,2,0,3
657 Toronto Road,2002,22,716,20,0,1,1,1
658 Toronto Road,1886,39,714,36,0,0,1,0
659 Toronto Road,1852,51,555,28,1,1,2,1
660 Toronto Road,1959,38,337,95,2,1,2,1
661 Toronto Road,1937,19,29,77,2,1,3,0
662 Toronto Road,1953,41,131,76,1,2,1,0
663 Toronto Road,1941,11,325,33,1,1,3,2
664 Toronto Road,1978,20,570,47,1,3,1,2
665 Toronto Road,1851,46,612,50,0,3,2,2
666 Toronto Road,1942,49,40,35,0,0,1,3
667 Toronto Road,1872,27,214,85,2,1,2,3
668 Toronto Road,1901,50,521,49,3,2,2,2
669 Toronto Road,1881,26,220,32,0,3,0,2
670 Toronto Road,1901,39,74,84,1,0,0,3
671 Toronto Road,1911,47,456,11,0,2,3,0
672 Toronto Road,2022,13,685,82,1,1,1,3
673 Toronto Road,1930,48,341,41,0,3,1,3
674 Toronto Road,1944,8,236,5,2,3,0,3
675 Toronto Road,1904,49,645,97,1,2,0,0
676 Toronto Road,1855,35,362,7,1,2,3,3
677 Toronto Road,1893,12,520,17,2,3,2,3
678 Toronto Road,2017,19,238,4,2,1,3,2
679 Toronto Road,1977,29,478,6,0,1,3,0
680 Toronto Road,1888,37,584,63,0,2,3,1
681 Toronto Road,1846,12,117,97,0,3,0,1
682 Toronto Road,2007,6,548,3,1,1,0,3
683 Toronto Road,1871,32,556,14,2,2,2,2
684 Toronto Road,1976,46,626,35,2,2,2,2
685 Toronto Road,1987,16,390,43,3,2,1,3
686 Toronto Road,1918,7,642,92,3,3,1,0
687 Toronto Road,1915,12,79,27,1,1,2,2
688 Toronto Road,1987,46,429,14,2,3,0,3
689 Toronto Road,1949,23,451,1,2,1,2,0
690 Toronto Road,1986,34,288,81,2,3,3,0
691 Toronto Road,1901,37,600,64,0,0,0,0
692 Toronto Road,1843,4,214,26,1,0,1,1
693 Toronto Road,1980,33,602,26,1,2,0,0
694 Toronto Road,2017,9,609,26,1,0,0,3
695 Toronto Road,1894,21,454,73,2,1,2,0
696 Toronto Road,1839,47,676,59,1,1,0,3
697 Toronto Road,1858,49,216,16,1,2,2,3
698 Toronto Road,1849,19,357,100,0,0,3,1
699 Toronto Road,1960,21,357,96,2,0,2,1
700 Toronto Road,1909,31,659,73,3,0,2,0
701 Toronto Road,1852,48,301,69,2,0,3,2
702 Toronto Road,2007,33,475,75,2,3,3,1
703 Toronto Road,1987,21,177,51,2,1,2,2
704 Toronto Road,1973,24,332,3,1,1,2,0
705 Toronto Road,2023,7,380,38,2,0,2,2
706 Toronto Road,1927,24,707,77,1,1,0,0
707 Toronto Road,1973,14,323,0,1,0,2,3
708 Toronto Road,1902,49,524,53,0,3,3,2
709 Toronto Road,1912,43,368,84,3,3,2,0
710 Toronto Road,1913,19,493,47,2,0,1,0
711 Toronto Road,1990,11,145,34,1,2,3,3
712 Toronto Road,1881,14,244,32,0,3,0,2
713 Toronto Road,1901,11,315,59,2,2,1,0
714 Toronto Road,1973,34,410,42,1,2,2,0
715 Toronto Road,1842,37,401,53,1,2,3,0
716 Toronto Road,1914,24,690,48,2,2,3,2
717 Toronto Road,1927,41,181,6,3,0,0,0
718 Toronto Road,1915,17,444,20,0,2,2,3
719 Toronto Road,1862,22,403,72,3,0,0,1
720 Toronto Road,1988,4,327,60,2,2,2,1
721 Toronto Road,1922,41,622,91,2,2,0,0
722 Toronto Road,1990,15,609,90,0,2,1,0
723 Toronto Road,1948,43,223,42,3,1,2,1
724 Toronto Road,1963,11,291,76,3,1,2,0
725 Toronto Road,1844,50,511,43,0,3,1,1
726 Toronto Road,2022,5,229,2,2,0,2,0
727 Toronto Road,1876,29,76,98,3,1,2,0
728 Toronto Road,1980,19,211,12,2,0,3,3
729 Toronto Road,1966,10,637,82,2,2,3,1
730 Toronto Road,1881,32,428,47,0,1,1,0
731 Toronto Road,1964,38,212,35,1,0,3,3
732 Toronto Road,1964,25,265,85,0,0,2,3
733 Toronto Road,1839,41,180,69,3,2,3,3
734 Toronto Road,1998,29,334,68,0,2,1,1
735 Toronto Road,1943,23,566,47,0,3,1,0
736 Toronto Road,1938,35,355,32,2,0,3,0
737 Toronto Road,1976,8,79,27,1,2,1,2
738 Toronto Road,2003,10,411,61,3,1,3,3
739 Toronto Road,1951,39,589,6,1,0,1,3
740 Toronto Road,2023,49,482,86,0,0,0,0
741 Toronto Road,1839,25,418,19,0,3,3,3
742 Toronto Road,1943,21,343,29,2,3,2,1
743 Toronto Road,1858,33,236,25,1,3,3,1
744 Toronto Road,1913,33,497,54,2,2,1,0
745 Toronto Road,2009,7,452,0,0,1,1,1
746 Toronto Road,1969,33,687,10,1,1,2,3
747 Toronto Road,1839,43,267,82,1,0,2,0
748 Toronto Road,1969,45,137,60,1,0,0,1
749 Toronto Road,2021,46,253,33,2,0,1,0
750 Toronto Road,1912,20,60,7,1,0,0,2
751 Toronto Road,1998,27,283,42,1,1,1,0
752 Toronto Road,2008,10,616,100,3,2,0,3
753 Toronto Road,1841,29,418,47,2,0,1,1
754 Toronto Road,1916,45,328,35,3,1,1,0
755 Toronto Road,1966,44,480,75,2,2,0,2
756 Toronto Road,1952,50,56,45,3,3,3,3
757 Toronto Road,1895,28,417,7,0,1,1,3
758 Toronto Road,2000,34,572,43,0,2,0,0
759 Toronto Road,2008,42,355,88,1,0,1,0
760 Toronto Road,1943,46,349,62,2,2,2,2
761 Toronto Road,1961,21,691,98,2,3,3,1
762 Toronto Road,1842,23,443,31,1,1,1,2
763 Toronto Road,1994,37,312,68,3,3,0,3
764 Toronto Road,1950,12,653,82,2,3,1,1
765 Toronto Road,1904,28,183,93,1,0,1,0
766 Toronto Road,1847,50,465,36,0,1,0,3
767 Toronto Road,1841,19,75,95,3,0,1,0
768 Toronto Road,1886,28,340,79,3,3,3,2
769 Toronto Road,1989,40,20,59,2,3,3,2
770 Toronto Road,1885,6,621,5,3,1,0,0
771 Toronto Road,1982,5,267,87,0,3,2,2
772 Toronto Road,1948,25,195,15,0,1,3,1
773 Toronto Road,1965,26,575,87,2,1,1,1
774 Toronto Road,1844,19,272,21,2,2,0,2
775 Toronto Road,1936,3,257,18,0,3,1,3
776 Toronto Road,1888,43,219,33,1,2,1,1
777 Toronto Road,1960,23,47,37,3,0,3,1
778 Toronto Road,1955,40,178,42,3,0,0,1
779 Toronto Road,1872,38,573,93,1,1,0,0
780 Toronto Road,1850,45,640,98,1,0,3,3
781 Toronto Road,2002,46,63,57,1,0,2,2
782 Toronto Road,1962,25,132,53,0,3,2,3
783 Toronto Road,1927,30,248,80,0,1,1,1
784 Toronto Road,1886,16,37,71,1,3,2,1
785 Toronto Road,1976,42,662,65,2,0,2,2
786 Toronto Road,1840,44,649,23,0,0,0,1
787 Toronto Road,1932,6,511,24,1,0,0,1
788 Toronto Road,2002,13,75,91,3,1,1,3
789 Toronto Road,1894,24,693,28,1,2,1,1
790 Toronto Road,1885,27,93,79,1,0,2,0
791 Toronto Road,1940,23,458,44,2,2,3,0
792 Toronto Road,1915,44,453,62,0,3,2,1
793 Toronto Road,1915,6,704,93,3,0,2,0
794 Toronto Road,1881,44,640,45,3,0,1,0
795 Toronto Road,2012,34,425,53,0,1,0,1
796 Toronto Road,1918,6,64,51,3,3,0,0
797 Toronto Road,1951,35,248,12,3,2,0,1
798 Toronto Road,1863,4,456,41,1,0,2,3
799 Toronto Road,1846,24,90,78,2,0,3,1
800 Toronto Road,1995,28,708,25,1,0,2,3
801 Toronto Road,1900,19,109,62,0,0,3,1
802 Toronto Road,1963,38,501,67,2,1,0,2
803 Toronto Road,1980,35,175,52,3,3,3,0
804 Toronto Road,2009,26,624,7,0,2,1,2
805 Toronto Road,1908,12,422,44,0,3,0,0
806 Toronto Road,1963,9,361,78,0,0,1,0
807 Toronto Road,1881,15,186,4,3,1,1,2
808 Toronto Road,1854,20,382,63,0,3,1,3
809 Toronto Road,1879,27,615,52,1,3,3,2
810 Toronto Road,1930,12,713,92,0,3,1,2
811 Toronto Road,1980,3,117,3,2,3,3,2
812 Toronto Road,1933,23,447,84,1,1,1,3
813 Toronto Road,1930,18,439,98,0,2,1,2
814 Toronto Road,1874,3,663,0,2,2,3,2
815 Toronto Road,1839,16,39,19,3,3,3,2
816 Toronto Road,1968,22,35,43,3,2,3,1
817 Toronto Road,1953,26,274,38,1,2,3,3
818 Toronto Road,2023,48,61,13,3,1,1,3
819 Toronto Road,1846,27,675,79,2,1,2,1
820 Toronto Road,2016,17,129,41,2,2,1,0
821 Toronto Road,1932,25,333,4,1,3,2,0
822 Toronto Road,1942,8,169,73,2,0,0,1
823 Toronto Road,1924,31,487,30,3,0,0,2
824 Toronto Road,1899,12,658,90,1,1,0,3
825 Toronto Road,1915,50,423,60,3,3,2,0
826 Toronto Road,1896,51,569,100,3,1,0,2
827 Toronto Road,1962,17,661,96,2,0,2,2
828 Toronto Road,1902,42,251,29,2,2,0,1
829 Toronto Road,1945,31,695,60,2,3,2,0
830 Toronto Road,1927,40,113,32,1,0,3,1
831 Toronto Road,1977,50,260,35,0,0,0,1
832 Toronto Road,1886,33,256,50,1,2,0,3
833 Toronto Road,1939,16,531,3,0,3,1,2
834 Toronto Road,2014,31,599,71,1,1,0,2
835 Toronto Road,1889,17,718,41,2,2,3,3
836 Toronto Road,1961,45,53,93,1,2,1,3
837 Toronto Road,1877,49,113,82,3,3,3,1
838 Toronto Road,2019,48,265,45,3,2,0,2
839 Toronto Road,1992,20,234,64,2,0,3,0
840 Toronto Road,1918,29,423,30,2,1,2,3
841 Toronto Road,1916,46,241,77,2,1,3,1
842 Toronto Road,1865,40,196,91,3,2,0,0
843 Toronto Road,1900,46,183,35,0,2,2,3
844 Toronto Road,1843,18,326,88,2,0,3,0
845 Toronto Road,2015,4,224,69,1,2,1,0
846 Toronto Road,1914,34,673,66,3,2,0,0
847 Toronto Road,1993,51,578,99,0,3,1,3
848 Toronto Road,1857,50,228,95,3,1,0,0
849 Toronto Road,1854,6,68,85,1,0,1,2
850 Toronto Road,1889,12,39,92,3,3,3,1
851 Toronto Road,2014,3,370,94,2,0,0,2
852 Toronto Road,1932,29,273,82,3,1,0,2
853 Toronto Road,1931,4,564,94,2,0,3,1
854 Toronto Road,1842,30,410,60,0,1,1,1
855 Toronto Road,2008,27,620,28,2,1,1,3
856 Toronto Road,2023,51,498,26,3,3,0,2
857 Toronto Road,1844,27,496,83,3,1,0,3
858 Toronto Road,1985,24,612,55,1,1,0,1
859 Toronto Road,1896,35,605,31,3,3,3,2
860 Toronto Road,1945,49,60,17,3,2,2,2
861 Toronto Road,1885,39,554,28,2,1,3,2
862 Toronto Road,2014,15,585,98,2,2,2,1
863 Toronto Road,1930,46,83,30,1,1,2,3
864 Toronto Road,1954,7,343,69,0,2,0,0
865 Toronto Road,1899,4,142,13,2,2,3,1
866 Toronto Road,1872,34,489,55,3,3,2,1
867 Toronto Road,1861,25,296,55,1,1,1,2
868 Toronto Road,1846,33,636,98,3,1,3,0
869 Toronto Road,1924,49,291,67,1,0,0,2
870 Toronto Road,1890,37,379,91,1,1,3,2
871 Toronto Road,1916,38,485,36,3,3,0,2
872 Toronto Road,2005,32,29,87,0,1,1,0
873 Toronto Road,1937,14,368,34,3,1,3,2
874 Toronto Road,1917,11,136,39,2,1,0,0
875 Toronto Road,1896,11,327,19,3,3,0,0
876 Toronto Road,1888,33,378,30,3,3,2,0
877 Toronto Road,1923,22,60,68,0,1,2,1
878 Toronto Road,1899,48,708,17,2,0,0,3
879 Toronto Road,1929,22,119,42,2,1,0,2
880 Toronto Road,1995,17,355,32,0,0,3,0
881 Toronto Road,1872,38,402,84,1,2,3,3
882 Toronto Road,1872,13,54,71,3,2,1,1
883 Toronto Road,1998,14,367,56,0,3,2,2
884 Toronto Road,1867,11,524,16,1,2,0,3
885 Toronto Road,1977,17,554,21,3,1,0,2
886 Toronto Road,1866,16,669,70,2,3,2,1
887 Toronto Road,1911,7,64,87,1,2,2,3
888 Toronto Road,1906,11,47,6,3,1,3,0
889 Toronto Road,1874,26,558,100,2,2,2,3
890 Toronto Road,1954,46,366,86,0,3,3,3
891 Toronto Road,1958,46,231,99,2,3,0,2
892 Toronto Road,1911,48,698,28,2,3,2,3
893 Toronto Road,1892,31,581,92,3,2,1,3
894 Toronto Road,1840,23,700,26,0,3,2,2
895 Toronto Road,1924,47,556,24,0,2,2,2
896 Toronto Road,1976,30,523,36,1,1,1,0
897 Toronto Road,1973,36,617,52,0,0,3,0
898 Toronto Road,2009,16,594,1,1,0,3,2
899 Toronto Road,1874,24,338,81,1,3,1,0
900 Toronto Road,1965,3,684,34,0,1,2,3
901 Toronto Road,1976,12,339,28,0,3,1,0
902 Toronto Road,1974,25,625,34,1,0,1,1
903 Toronto Road,1844,30,211,17,2,0,2,1
904 Toronto Road,1996,51,555,34,1,3,1,1
905 Toronto Road,1942,49,271,88,1,2,3,2
906 Toronto Road,1917,42,110,58,1,3,0,0
907 Toronto Road,1981,26,154,61,0,3,2,3
908 Toronto Road,1962,36,670,84,2,3,2,3
909 Toronto Road,1940,29,302,77,3,2,0,1
910 Toronto Road,1949,40,259,51,2,1,3,1
911 Toronto Road,1906,19,283,83,0,2,2,0
912 Toronto Road,1962,39,88,47,1,1,2,2
913 Toronto Road,1863,34,459,94,2,2,3,2
914 Toronto Road,2015,3,154,32,2,0,3,3
915 Toronto Road,1859,38,645,30,3,2,2,3
916 Toronto Road,1947,14,232,27,1,3,3,2
917 Toronto Road,1949,39,582,74,0,2,1,3
918 Toronto Road,1917,42,519,71,3,3,1,1
919 Toronto Road,2007,46,683,42,0,2,2,1
920 Toronto Road,1889,14,342,8,3,2,0,2
921 Toronto Road,1954,23,107,81,0,1,0,0
922 Toronto Road,1872,23,623,65,1,1,3,2
923 Toronto Road,1966,12,374,47,2,0,1,3
924 Toronto Road,1882,45,527,78,0,3,3,3
925 Toronto Road,1927,41,301,69,0,1,3,2
926 Toronto Road,1871,40,321,19,0,0,3,3
927 Toronto Road,1878,36,72,16,1,1,3,1
928 Toronto Road,2010,8,452,62,3,0,0,2
929 Toronto Road,1893,5,629,84,1,0,1,0
930 Toronto Road,1981,48,222,6,2,0,1,3
931 Toronto Road,1910,49,488,71,1,2,0,0
932 Toronto Road,1929,45,659,84,1,0,1,1
933 Toronto Road,1882,29,65,1,1,0,3,1
934 Toronto Road,1958,26,97,67,1,0,3,3
935 Toronto Road,1842,24,167,8,1,0,1,0
936 Toronto Road,1913,14,500,35,1,1,1,0
937 Toronto Road,1962,32,709,54,2,2,1,0
938 Toronto Road,1951,12,213,80,2,3,3,0
939 Toronto Road,1850,39,431,82,3,0,3,1
940 Toronto Road,1984,26,98,53,0,2,0,0
941 Toronto Road,1844,15,445,95,3,0,3,3
942 Toronto Road,1933,29,170,87,3,0,2,0
943 Toronto Road,1873,28,516,52,0,3,2,3
944 Toronto Road,1870,20,641,39,2,3,1,3
945 Toronto Road,1995,22,549,94,3,0,2,0
946 Toronto Road,1919,48,190,45,0,0,0,0
947 Toronto Road,1994,49,278,7,3,0,1,0
948 Toronto Road,1897,35,709,79,0,0,0,2
949 Toronto Road,1899,47,310,70,1,3,3,1
950 Toronto Road,2000,26,203,40,1,1,1,3
951 Toronto Road,1984,6,675,16,0,3,2,3
952 Toronto Road,1964,16,514,82,1,2,1,2
953 Toronto Road,1975,44,209,64,0,1,3,0
954 Toronto Road,2017,41,100,38,0,0,3,2
955 Toronto Road,1943,39,183,0,3,3,3,0
956 Toronto Road,1852,32,92,7,1,1,0,3
957 Toronto Road,2016,50,595,60,2,1,3,1
958 Toronto Road,1984,19,464,1,3,1,3,3
959 Toronto Road,1984,44,57,10,1,2,2,2
960 Toronto Road,1900,28,146,62,0,0,1,3
961 Toronto Road,2019,4,492,77,0,1,0,0
962 Toronto Road,1980,47,96,2,1,2,0,3
963 Toronto Road,1921,30,169,14,0,2,1,2
964 Toronto Road,1853,45,532,78,0,3,3,3
965 Toronto Road,1893,31,531,58,0,1,1,2
966 Toronto Road,1882,49,507,68,3,3,1,3
967 Toronto Road,1857,43,710,47,0,0,3,3
968 Toronto Road,1880,33,385,1,2,1,2,0
969 Toronto Road,1872,13,458,3,2,1,1,0
970 Toronto Road,1966,30,287,9,0,3,0,0
971 Toronto Road,2008,31,459,91,3,0,0,3
972 Toronto Road,2002,45,718,77,3,0,3,0
973 Toronto Road,1953,25,124,60,2,0,3,0
974 Toronto Road,1972,4,19,42,3,2,2,2
975 Toronto Road,1902,28,311,8,0,2,0,2
976 Toronto Road,1934,30,693,45,3,3,0,1
977 Toronto Road,1886,36,450,80,0,3,2,2
978 Toronto Road,1951,6,378,43,3,0,1,3
979 Toronto Road,1947,43,184,27,0,2,0,1
980 Toronto Road,1901,7,73,93,0,0,1,0
981 Toronto Road,1845,9,309,65,0,1,0,2
982 Toronto Road,1851,8,200,68,1,2,3,1
983 Toronto Road,1905,10,196,65,2,1,0,1
984 Toronto Road,1857,15,660,38,3,3,2,2
985 Toronto Road,1946,37,348,0,3,3,0,1
986 Toronto Road,1870,3,146,18,0,2,0,1
987 Toronto Road,2010,31,546,17,0,0,3,1
988 Toronto Road,2017,34,678,23,3,2,2,0
989 Toronto Road,2022,13,33,32,1,0,0,1
990 Toronto Road,2012,3,310,31,1,1,1,1
991 Toronto Road,1853,19,221,17,0,2,2,0
992 Toronto Road,1914,14,531,60,0,1,3,1
993 Toronto Road,1920,25,109,19,2,2,1,2
994 Toronto Road,1949,37,307,21,0,1,0,3
995 Toronto Road,1903,18,544,77,0,3,2,2
996 Toronto Road,1926,42,669,89,1,2,2,0
997 Toronto Road,2022,24,132,0,3,0,3,2
998 Toronto Road,1917,18,547,46,1,2,3,2
999 Toronto Road,1989,29,374,85,2,3,2,1
1000 Toronto Road,1909,22,654,4,1,2,2,0
1001 Toronto Road,1951,13,306,13,2,2,2,0
1002 Toronto Road,1944,39,15,88,2,0,1,2
1003 Toronto Road,1890,42,124,17,1,3,2,1
1004 Toronto Road,1967,21,329,34,2,0,2,3
1005 Toronto Road,2012,48,75,93,0,1,1,1
1006 Toronto Road,1921,41,12,18,1,3,0,1
1007 Toronto Road,1868,23,39,18,2,0,3,3
1008 Toronto Road,1870,5,410,66,3,0,3,1
1009 Toronto Road,1878,23,636,65,2,2,0,3
1010 Toronto Road,1988,3,52,2,2,3,2,2
1011 Toronto Road,1894,5,699,39,3,1,0,1
1012 Toronto Road,1881,5,531,61,1,2,3,2
1013 Toronto Road,1970,29,277,54,0,1,1,1
1014 Toronto Road,2006,41,446,43,3,0,2,1
1015 Toronto Road,1961,32,19,55,3,1,3,1
1016 Toronto Road,1944,40,174,24,3,0,3,1
1017 Toronto Road,1983,12,392,2,0,3,0,2
1018 Toronto Road,1841,21,156,69,3,3,3,1
1019 Toronto Road,1846,9,145,74,0,0,0,3
1020 Toronto Road,1857,39,540,18,1,2,1,0
1021 Toronto Road,1989,12,547,30,0,1,3,1
1022 Toronto Road,1979,49,436,50,1,2,0,2
1023 Toronto Road,1877,14,516,2,2,0,3,2
1024 Toronto Road,2011,11,255,62,2,2,0,0
1025 Toronto Road,1996,44,38,84,3,1,3,1
1026 Toronto Road,1922,11,544,95,3,1,2,0
1027 Toronto Road,1877,12,558,83,0,0,3,2
1028 Toronto Road,1934,31,127,15,0,2,2,2
1029 Toronto Road,1892,24,266,26,3,2,1,2
1030 Toronto Road,1959,30,489,52,3,0,1,1
1031 Toronto Road,2004,23,401,62,1,3,2,3
1032 Toronto Road,1998,23,493,57,0,1,1,3
1033 Toronto Road,1888,21,414,91,1,0,0,0
1034 Toronto Road,1861,9,507,12,3,2,0,0
1035 Toronto Road,2005,3,562,70,3,2,0,0
1036 Toronto Road,1917,26,280,47,2,2,3,1
1037 Toronto Road,1979,39,379,82,0,0,0,0
1038 Toronto Road,1981,14,506,68,2,1,1,1
1039 Toronto Road,1906,9,587,38,1,0,2,0
1040 Toronto Road,1975,3,718,81,0,1,3,0
1041 Toronto Road,2013,43,233,62,1,0,2,0
1042 Toronto Road,2000,48,558,60,2,1,1,1
1043 Toronto Road,1903,5,657,61,1,1,2,2
1044 Toronto Road,1990,21,107,37,0,0,1,3
1045 Toronto Road,2007,38,368,13,2,3,1,2
1046 Toronto Road,1935,6,470,96,3,0,3,1
1047 Toronto Road,2003,37,168,58,3,0,1,1
1048 Toronto Road,1943,47,476,52,3,0,2,2
1049 Toronto Road,1838,51,289,48,1,3,3,3
1050 Toronto Road,1993,50,50,98,1,3,2,3
1051 Toronto Road,2003,47,391,74,3,1,3,3
1052 Toronto Road,1997,42,651,7,1,2,3,3
1053 Toronto Road,1981,28,10,46,1,3,0,1
1054 Toronto Road,2007,3,459,18,2,0,2,0
1055 Toronto Road,1982,27,33,98,2,3,0,1
1056 Toronto Road,1902,15,350,22,1,3,2,0
1057 Toronto Road,2022,25,61,65,3,0,0,3
1058 Toronto Road,1923,7,170,14,3,0,0,3
1059 Toronto Road,1950,25,174,89,2,0,2,2
1060 Toronto Road,1873,19,191,68,3,3,2,1
1061 Toronto Road,1947,24,311,34,1,2,1,3
1062 Toronto Road,1975,15,628,99,2,0,0,3
1063 Toronto Road,1876,16,135,72,1,0,3,3
1064 Toronto Road,1879,8,541,23,1,1,1,0
1065 Toronto Road,2001,14,156,33,2,3,3,0
1066 Toronto Road,1897,27,380,36,3,0,3,1
1067 Toronto Road,1953,46,242,88,1,3,0,1
1068 Toronto Road,1863,27,17,37,3,2,0,3
1069 Toronto Road,1855,43,53,61,2,2,1,1
1070 Toronto Road,1997,18,576,93,2,3,3,1
1071 Toronto Road,1938,15,185,23,3,0,2,3
1072 Toronto Road,1925,34,95,91,1,0,2,1
1073 Toronto Road,1973,38,484,20,1,1,1,3
1074 Toronto Road,1860,50,566,32,0,3,2,2
1075 Toronto Road,1994,51,468,64,0,1,3,3
1076 Toronto Road,2004,20,598,91,2,0,1,1
1077 Toronto Road,1879,38,600,6,3,2,2,0
1078 Toronto Road,1945,13,329,54,2,0,2,1
1079 Toronto Road,1885,8,374,42,2,1,1,3
1080 Toronto Road,1935,21,475,91,0,2,0,2
1081 Toronto Road,1961,9,625,80,2,3,1,2
1082 Toronto Road,1863,42,315,65,3,1,0,0
1083 Toronto Road,1995,43,594,74,2,2,3,3
1084 Toronto Road,1863,42,293,9,3,3,0,2
1085 Toronto Road,1932,12,292,7,2,0,2,2
1086 Toronto Road,1857,30,502,77,0,2,2,1
1087 Toronto Road,1854,34,493,35,1,1,3,0
1088 Toronto Road,1963,20,402,15,3,0,3,2
1089 Toronto Road,1936,24,260,92,3,1,2,0
1090 Toronto Road,1988,32,662,12,3,1,2,2
1091 Toronto Road,1972,23,566,24,3,2,3,3
1092 Toronto Road,1946,5,327,17,1,2,2,2
1093 Toronto Road,1877,11,324,31,3,2,3,2
1094 Toronto Road,1898,32,304,55,1,0,2,1
1095 Toronto Road,1840,45,692,75,3,3,0,3
1096 Toronto Road,1989,9,663,86,3,2,1,2
1097 Toronto Road,1880,51,511,49,3,1,3,0
1098 Toronto Road,1929,49,92,66,3,2,1,0
1099 Toronto Road,1990,6,104,8,3,3,2,3
1100 Toronto Road,1915,6,354,43,3,0,1,2
1101 Toronto Road,2002,28,688,16,3,0,2,3
1102 Toronto Road,1958,21,291,88,0,2,3,3
1103 Toronto Road,1912,39,682,13,1,3,0,2
1104 Toronto Road,1863,24,115,68,1,0,2,3
1105 Toronto Road,2005,35,63,91,3,2,3,2
1106 Toronto Road,2000,44,315,65,1,1,3,2
1107 Toronto Road,1916,40,517,34,2,2,1,0
1108 Toronto Road,2009,17,548,58,3,0,1,2
1109 Toronto Road,1882,40,364,39,2,2,1,2
1110 Toronto Road,1953,46,435,72,0,1,1,0
1111 Toronto Road,1934,42,236,34,3,2,1,3
1112 Toronto Road,1981,13,396,83,0,0,3,1
1113 Toronto Road,1870,17,352,76,2,1,0,3
1114 Toronto Road,2012,39,27,69,2,0,3,1
1115 Toronto Road,1932,51,510,91,2,2,2,0
1116 Toronto Road,1934,13,145,90,0,2,2,1
1117 Toronto Road,1966,51,316,46,0,2,3,0
1118 Toronto Road,1956,26,395,86,2,2,0,0
1119 Toronto Road,1841,38,478,30,0,2,1,3
1120 Toronto Road,1922,24,632,78,3,0,2,0
1121 Toronto Road,1888,3,672,71,1,0,2,0
1122 Toronto Road,1960,10,578,9,1,1,0,3
1123 Toronto Road,1947,27,120,92,3,2,1,0
1124 Toronto Road,1874,10,262,88,3,2,0,3
1125 Toronto Road,1931,14,303,100,1,1,3,1
1126 Toronto Road,2010,36,474,41,3,0,0,3
1127 Toronto Road,1971,14,541,67,0,1,3,1
1128 Toronto Road,1986,45,661,96,3,0,1,0
1129 Toronto Road,2021,18,370,52,3,2,2,3
1130 Toronto Road,1844,41,349,0,0,3,1,2
1131 Toronto Road,1943,20,633,13,2,3,1,0
1132 Toronto Road,1986,17,672,99,1,3,1,1
1133 Toronto Road,1886,26,681,77,1,0,1,2
1134 Toronto Road,1972,18,405,20,1,1,2,3
1135 Toronto Road,2009,43,484,23,3,3,2,2
1136 Toronto Road,1888,24,611,22,2,3,1,3
1137 Toronto Road,1905,41,626,76,0,0,1,2
1138 Toronto Road,1849,33,535,60,0,1,1,1
1139 Toronto Road,1924,15,137,53,0,1,1,0
1140 Toronto Road,1854,5,51,77,1,1,0,3
1141 Toronto Road,1857,10,411,32,2,3,0,2
1142 Toronto Road,1944,32,146,56,2,3,0,2
1143 Toronto Road,1917,38,481,84,3,0,0,2
1144 Toronto Road,1873,25,420,46,0,0,2,1
1145 Toronto Road,1998,12,395,48,2,0,1,2
1146 Toronto Road,1985,40,17,1,3,2,0,1
1147 Toronto Road,1882,39,512,17,1,0,2,1
1148 Toronto Road,1940,37,298,10,2,2,2,2
1149 Toronto Road,1954,31,161,65,1,2,0,3
1150 Toronto Road,1986,16,353,96,0,0,0,0
1151 Toronto Road,1848,26,693,22,1,1,3,2
1152 Toronto Road,1894,11,267,90,2,0,2,0
1153 Toronto Road,1930,10,567,93,1,2,1,1
1154 Toronto Road,1860,40,387,74,1,1,0,0
1155 Toronto Road,1935,42,516,3,2,3,0,1
1156 Toronto Road,2007,51,607,45,2,1,2,3
1157 Toronto Road,1934,30,260,35,0,0,0,0
1158 Toronto Road,1900,49,449,4,3,0,1,0
1159 Toronto Road,1952,31,703,33,2,0,1,2
1160 Toronto Road,1884,37,136,3,0,1,3,3
1161 Toronto Road,1988,48,47,65,1,1,1,3
